codigo_bo,nome_municipio,nome_delegacia,ano_ocorrencia,mes_ocorrencia,data_ocorrencia_bo,hora_ocorrencia_bo,periodo_ocorrencia,dia_semana,local_ocorrencia,bairro,logradouro,latitude,longitude,artigo_ocorrencia,tipo_ocorrencia
Aw9653,Sorocaba,Ddm Sorocaba,2024,1,2024-01-18,22:11:00,Não Informado,Quinta-Feira,Casa,Vila Fiori,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Ba4296,Sorocaba,Ddm Sorocaba,2024,1,2024-01-18,21:00:00,Não Informado,Quinta-Feira,Casa,Vila Fiori,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Ae5439,Sorocaba,Ddm Sorocaba,2024,1,2024-01-04,10:45:00,Não Informado,Quinta-Feira,Apartamento,Jardim Paulistano,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Ar1619,Sorocaba,Ddm Sorocaba,2024,1,2024-01-15,00:40:00,Não Informado,Segunda-Feira,Casa,Jardim Aristocrata,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Bf8808,Sorocaba,Ddm Votorantim,2024,1,2024-01-23,01:06:19,Não Informado,Terça-Feira,Casa,Vila Jardini,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Ak4419,Sorocaba,Ddm Sorocaba,2024,1,2024-01-08,23:00:00,Não Informado,Segunda-Feira,Casa,Jardim Zulmira,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
An3889,Sorocaba,Ddm Sorocaba,2024,1,2024-01-06,,A Noite,Sábado,Casa,Jardim Zulmira,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Ao0208,Sorocaba,Ddm Sorocaba,2024,1,2024-01-11,20:00:00,Não Informado,Quinta-Feira,Casa,Jardim Zulmira,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Ao4678,Sorocaba,Ddm Sorocaba,2024,1,2024-01-12,11:00:00,Não Informado,Sexta-Feira,Hotel,Vila Barao,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Av8843,Sorocaba,Ddm Sorocaba,2024,1,2024-01-16,19:00:00,Não Informado,Terça-Feira,Casa,Jardim Nova Esperanca,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Bb7901,Sorocaba,Ddm Votorantim,2024,1,2024-01-23,06:30:35,Não Informado,Terça-Feira,Casa,Vila Barao,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Bl9964,Sorocaba,Ddm Sorocaba,2024,1,2024-01-31,12:32:00,Não Informado,Quarta-Feira,Casa,Jardim Ana Maria,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Ab6763,Sorocaba,Ddm Sorocaba,2024,1,2024-01-02,11:00:00,Não Informado,Terça-Feira,Casa,Jardim Itália,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Art. 213 - Estupro,Estupro
Ao3185,Sorocaba,Ddm Sorocaba,2024,1,2024-01-07,,A Noite,Domingo,Casa,Vila Calhambeque,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Art. 213 - Estupro,Estupro
Ao3910,Sorocaba,Ddm Sorocaba,2024,1,2024-01-05,,Em Hora Incerta,Sexta-Feira,Casa,Vila Calhambeque,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Furto (Art. 155),Furto - Outros
Ab6763,Sorocaba,Ddm Sorocaba,2024,1,2024-01-02,11:00:00,Não Informado,Terça-Feira,Casa,Jardim Itália,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Al3429,Sorocaba,Ddm Sorocaba,2024,1,2024-01-10,07:00:00,Não Informado,Quarta-Feira,Casa,Cajuru Do Sul,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Bc2092,Sorocaba,Ddm Sorocaba,2024,1,2024-01-23,08:00:00,Não Informado,Terça-Feira,Apartamento,Portal Do Eden I,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Ac3453,Sorocaba,Ddm Sorocaba,2024,12,2023-12-26,07:00:00,Não Informado,Terça-Feira,Casa,Vila Angelica,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Af4000,Sorocaba,Ddm Sorocaba,2024,1,2024-01-03,18:30:00,Não Informado,Quarta-Feira,Casa,Jardim Sueli,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Af5515,Sorocaba,Ddm Sorocaba,2024,1,2024-01-05,00:00:00,Não Informado,Sexta-Feira,Casa,Habiteto,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
