nome_municipio,nome_delegacia,ano_ocorrencia,mes_ocorrencia,data_ocorrencia_bo,hora_ocorrencia_bo,periodo_ocorrencia,dia_semana,local_ocorrencia,bairro,logradouro,latitude,longitude,artigo_ocorrencia,tipo_ocorrencia
Sorocaba,Ddm Sorocaba,2025,1,2025-01-01,06:00:00,Não Informado,Quarta-Feira,Casa,Jardim Sao Conrado,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Sorocaba,Ddm Sorocaba,2025,1,2025-01-03,15:00:00,Não Informado,Sexta-Feira,Casa,Retiro Sao Joao,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Sorocaba,Ddm Sorocaba,2025,1,2025-01-29,14:30:00,Não Informado,Quarta-Feira,Via Pública,Vila Progresso,Rua Pedro Álvares Cabral,-23.479607196,-47.447827747,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Sorocaba,Ddm Sorocaba,2025,1,2025-01-30,14:30:44,Não Informado,Quinta-Feira,Mercado,Jardim Maria Do Carmo,Avenida Dom Aguirre,-23.4694704,-47.4529311,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Sorocaba,Ddm Votorantim,2025,1,2025-01-12,22:00:26,Não Informado,Domingo,Casa,Jardim Prestes De Barros,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Sorocaba,Ddm Sorocaba,2025,1,2025-01-15,10:00:00,Não Informado,Quarta-Feira,Via Pública,Vila Haro,Rua Doutor Armando Arruda Pereira,-23.4987494,-47.4330265,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Sorocaba,Ddm Sorocaba,2025,1,2025-01-21,05:00:00,Não Informado,Terça-Feira,Casa,Vila Haro,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Sorocaba,Ddm Sorocaba,2025,1,2025-01-26,12:30:00,Não Informado,Domingo,Casa,Jardim Magnolia,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Sorocaba,Ddm Sorocaba,2025,12,2024-12-20,18:00:00,Não Informado,Sexta-Feira,Casa,Jardim Portal Da Colina,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Sorocaba,Ddm Sorocaba,2025,1,2025-01-28,16:00:00,Não Informado,Terça-Feira,Motel,Vila Barao,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Estupro - Art. 213,Estupro
Sorocaba,Ddm Sorocaba,2025,1,2025-01-31,09:00:00,Não Informado,Sexta-Feira,Casa,Vila Barao,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Estupro - Art. 213,Estupro
Sorocaba,Ddm Sorocaba,2025,1,2025-01-08,,Em Hora Incerta,Quarta-Feira,Casa,Jardim Nova Esperanca,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Furto (Art. 155),Furto - Outros
Sorocaba,Ddm Sorocaba,2025,1,2025-01-04,,Em Hora Incerta,Sábado,Casa,Vila Barao,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Sorocaba,Ddm Sorocaba,2025,1,2025-01-03,10:00:00,Não Informado,Sexta-Feira,Casa,Centro,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Estupro De Vulneravel (Art.217-A),Estupro De Vulnerável
