codigo_bo,ano_ocorrencia,data_ocorrencia_bo,nome_municipio,nome_delegacia,tipo_ocorrencia,local_ocorrencia,bairro,flagrante,natureza_autor,sexo_autor,idade_autor,raca_autor,profissao_autor,escolaridade_autor,tipo_prisao_ssp
Hb8186,2024,2024-05-23,Sorocaba,Ddm Sorocaba,,Casa,Vila Helena,S,Indiciado,M,45,Amarela,Não Informado,Não Informado,Nº De Infratores Presos Em Flagrante
Nw0266,2024,2024-10-08,Sorocaba,Ddm Sorocaba,Lesão Corporal Dolosa,Casa,Vila Helena,S,Indiciado,M,45,Amarela,Não Informado,Não Informado,Nº De Infratores Presos Em Flagrante
Jd4510,2024,2024-07-04,Sorocaba,Ddm Sorocaba,,Imobiliária,Jardim Vergueiro,N,Autor,M,24,Branca,Não Informado,Não Informado,Nº De Infratores Presos Por Mandado
Ls5055,2024,2024-08-27,Sorocaba,Ddm Sorocaba,,Junta/Fórum/Tribunal,Boa Vista,N,Autor,M,46,Branca,Não Informado,Não Informado,Nº De Infratores Presos Por Mandado
Ks8999,2024,2024-08-07,Sorocaba,Ddm Sorocaba,,Casa,Vila Santana,N,Autor,M,62,Branca,Não Informado,Não Informado,Nº De Infratores Presos Por Mandado
Re6161,2024,2024-12-12,Sorocaba,Ddm Sorocaba,,Apartamento,Jardim Saira,N,Autor,M,29,Branca,Não Informado,2º Grau Completo,Nº De Infratores Presos Por Mandado
Kk0692,2024,2024-07-31,Votorantim,Ddm Sorocaba,,Casa,Alphaville,N,Autor,M,33,Branca,Não Informado,Não Informado,Nº De Infratores Presos Por Mandado
Jb9234,2024,2024-07-03,Sorocaba,Ddm Sorocaba,,Delegacia,Jardi Embaixador,N,Autor,M,30,Branca,Não Informado,Não Informado,Nº De Infratores Presos Por Mandado
Rk8081,2024,2024-12-17,Sorocaba,Ddm Sorocaba,,Casa,Vila Aeroporto,S,Autor,M,45,Branca,Desempregado,Não Informado,Nº De Infratores Presos Em Flagrante
Rk8081,2024,2024-12-17,Sorocaba,Ddm Sorocaba,,Casa,Vila Aeroporto,S,Autor,M,33,Branca,Não Informado,Não Informado,Nº De Infratores Presos Em Flagrante
Oa7493,2024,2024-10-11,Votorantim,Ddm Votorantim,,Casa,Residencial Votorantim Park I,S,Autor,M,24,Branca,Operador(A),2º Grau Completo,Nº De Infratores Presos Em Flagrante
Pf1637,2024,2024-10-31,Sorocaba,Ddm Votorantim,,Hospital,Parque Santa Isabel,S,Autor,M,43,Branca,Motorista,1º Grau Incompleto,Nº De Infratores Presos Em Flagrante
Qf5357,2024,2024-11-25,Sorocaba,Ddm Sorocaba,,Prefeitura Municipal,Jd Abatia,S,Autor,M,28,Branca,Não Informado,Não Informado,Nº De Infratores Presos Em Flagrante
Fx5838,2024,2024-04-29,Sorocaba,Ddm Sorocaba,,Casa,Parque Das Laranjeiras,N,Capturado,M,41,Branca,Não Informado,Não Informado,Nº De Infratores Presos Por Mandado
Rv5878,2024,2024-12-26,Sorocaba,Ddm Sorocaba,,Casa,Jardim J S Carvalho,N,Capturado,M,30,Branca,Pedreiro,2º Grau Completo,Nº De Infratores Presos Por Mandado
Jp8780,2024,2024-07-15,Sorocaba,Ddm Sorocaba,,Restaurante,Centro,N,Capturado,M,24,Branca,Não Informado,1º Grau Completo,Nº De Infratores Presos Por Mandado
Jd1513,2024,2024-07-04,Sorocaba,Ddm Sorocaba,,Delegacia,Jardi Embaixador,N,Capturado,M,43,Branca,Azulejista,1º Grau Incompleto,Nº De Infratores Presos Por Mandado
Rg0263,2024,2024-12-13,Sorocaba,Ddm Sorocaba,,Delegacia,Jardi Embaixador,N,Capturado,M,37,Branca,Autonomo(A),Não Informado,Nº De Infratores Presos Por Mandado
Ir6055,2024,2024-06-25,Sorocaba,Ddm Sorocaba,,Casa,Jardim Morita,N,Capturado,M,64,Branca,Não Informado,Não Informado,Nº De Infratores Presos Por Mandado
Ml7785,2024,2024-09-11,Votorantim,Ddm Votorantim,,Apartamentos,Vossoroca,N,Capturado,M,40,Branca,Pedreiro,2º Grau Completo,Nº De Infratores Presos Por Mandado
Oq3234,2024,2024-10-23,Sorocaba,Ddm Sorocaba,,Casa,Vila Dálmatas,N,Capturado,M,30,Branca,Não Informado,1º Grau Incompleto,Nº De Infratores Presos Por Mandado
Dd9063,2024,2024-03-05,Sorocaba,Ddm Sorocaba,,Casa,Vila Nova Sorocaba,N,Capturado,M,43,Branca,Autonomo(A),1º Grau Completo,Nº De Infratores Presos Por Mandado
Dz5181,2024,2024-03-21,Votorantim,Ddm Votorantim,,Delegacia,Jardim Icatu,N,Capturado,M,37,Branca,Mecanico(A),Superior Incompleto,Nº De Infratores Presos Por Mandado
Py7720,2024,2024-11-19,Sorocaba,Ddm Sorocaba,,Casa,Jardim Santa Luiza,N,Capturado,M,38,Branca,Não Informado,2º Grau Completo,Nº De Infratores Presos Por Mandado
Jd1837,2024,2024-07-04,Sorocaba,Ddm Sorocaba,,Casa,Vila Ramon Lara Rodrigues,N,Capturado,M,36,Branca,Tecnico Em Enfermagem,Não Informado,Nº De Infratores Presos Por Mandado
Ki7425,2024,2024-07-30,Sorocaba,Ddm Sorocaba,,Casa,Jardim Santa Catarina,N,Capturado,M,45,Branca,Não Informado,Não Informado,Nº De Infratores Presos Por Mandado
Pp6521,2024,2024-11-12,Sorocaba,Ddm Sorocaba,,Casa,Parque Das Laranjeiras,N,Capturado,M,36,Branca,Autonomo(A),2º Grau Completo,Nº De Infratores Presos Por Mandado
Lz3133,2024,2024-09-02,Sorocaba,Ddm Sorocaba,,Casa,Jardim Maria Antônia Prado,N,Capturado,M,57,Branca,Aposentado(A),Superior Completo,Nº De Infratores Presos Por Mandado
Lb1981,2024,2024-08-14,Sorocaba,Ddm Sorocaba,,Via Pública,Jardim Santo Amaro,N,Capturado,M,35,Branca,Não Informado,Não Informado,Nº De Infratores Presos Por Mandado
